@relation datasetCleanedNumeric

@attribute Case_no numeric
@attribute checking_status numeric
@attribute credit_history {'critical/other existing credit','existing paid','delayed previously','no credits/all paid','all paid'}
@attribute purpose {radio/tv,education,furniture/equipment,'new car','used car',business,'domestic appliance',repairs,other,retraining}
@attribute credit_amount numeric
@attribute saving_status numeric
@attribute employment numeric
@attribute personal_status {'male single','female div/dep/mar','male div/sep','male mar/wid'}
@attribute age numeric
@attribute job numeric
@attribute class numeric

@data
777,0,'critical/other existing credit','new car',3535,1,3,'male single',37,2,1
778,-1,'existing paid',radio/tv,3509,1,3,'female div/dep/mar',25,2,1
779,0,'critical/other existing credit','used car',5711,4,4,'male single',38,3,1
780,1,'existing paid',repairs,3872,1,0,'female div/dep/mar',67,2,1
781,1,'critical/other existing credit',radio/tv,4933,1,3,'male single',25,2,0
782,0,'critical/other existing credit','new car',1940,4,4,'male single',60,2,1
783,1,'no credits/all paid',retraining,1410,1,2,'male single',31,1,1
784,1,'existing paid','new car',836,2,1,'female div/dep/mar',23,1,0
785,1,'existing paid','used car',6468,0,0,'male div/sep',60,3,1
786,1,'existing paid',business,1941,4,2,'male single',35,1,1
787,0,'existing paid',radio/tv,2675,3,4,'male single',40,2,1
788,0,'critical/other existing credit','used car',2751,0,4,'male single',38,2,1
789,1,'delayed previously',education,6224,1,4,'male single',50,2,0
790,-1,'critical/other existing credit',education,5998,1,2,'male single',27,2,0
791,1,'existing paid',business,1188,1,4,'female div/dep/mar',39,2,0
792,0,'existing paid','used car',6313,0,4,'male single',41,3,1
793,0,'critical/other existing credit',furniture/equipment,1221,0,2,'male mar/wid',27,2,1
794,2,'existing paid',furniture/equipment,2892,1,4,'male div/sep',51,2,1
795,0,'existing paid',furniture/equipment,3062,3,4,'male single',32,2,1
796,0,'existing paid',furniture/equipment,2301,2,1,'female div/dep/mar',22,2,1
797,-1,'existing paid','used car',7511,0,4,'male single',51,2,0
798,0,'critical/other existing credit',furniture/equipment,1258,1,1,'female div/dep/mar',22,1,1
799,0,'delayed previously','new car',717,0,4,'male mar/wid',54,2,1
800,1,'existing paid','new car',1549,0,1,'male single',35,0,1
801,0,'critical/other existing credit',education,1597,1,4,'male single',54,2,1
802,1,'critical/other existing credit',radio/tv,1795,1,4,'female div/dep/mar',48,1,1
803,-1,'critical/other existing credit',furniture/equipment,4272,1,4,'female div/dep/mar',24,2,1
804,0,'critical/other existing credit',radio/tv,976,0,4,'male single',35,2,1
805,1,'existing paid','new car',7472,0,0,'female div/dep/mar',24,0,1
806,-1,'existing paid','new car',9271,1,3,'male single',24,2,0
807,1,'existing paid',radio/tv,590,1,1,'male mar/wid',26,1,1
808,0,'critical/other existing credit',radio/tv,930,0,4,'male single',65,2,1
809,1,'all paid','used car',9283,1,0,'male single',55,3,1
810,1,'no credits/all paid','new car',1778,1,1,'female div/dep/mar',26,0,0
811,1,'existing paid',business,907,1,1,'male mar/wid',26,2,1
812,1,'existing paid',radio/tv,484,1,3,'male mar/wid',28,1,1
813,-1,'critical/other existing credit','used car',9629,1,3,'male single',24,2,0
814,-1,'existing paid','domestic appliance',3051,1,2,'male single',54,2,0
815,-1,'existing paid','new car',3931,1,3,'male single',46,2,0
816,1,'delayed previously','new car',7432,1,2,'female div/dep/mar',54,2,1
817,0,'existing paid','domestic appliance',1338,3,2,'male div/sep',62,2,1
818,0,'critical/other existing credit',radio/tv,1554,1,3,'female div/dep/mar',24,2,1
819,-1,'existing paid',other,15857,1,0,'male div/sep',43,3,1
820,-1,'existing paid',radio/tv,1345,1,2,'male mar/wid',26,2,0
821,0,'existing paid','new car',1101,1,2,'male mar/wid',27,2,1
822,2,'existing paid',radio/tv,3016,1,2,'male mar/wid',24,2,1
823,-1,'existing paid',furniture/equipment,2712,1,4,'male single',41,2,0
824,-1,'critical/other existing credit','new car',731,1,4,'male single',47,1,1
825,0,'critical/other existing credit',furniture/equipment,3780,1,1,'male div/sep',35,3,1
826,-1,'critical/other existing credit','new car',1602,1,4,'male mar/wid',30,2,1
827,-1,'critical/other existing credit','new car',3966,1,4,'female div/dep/mar',33,2,0
828,0,'no credits/all paid',business,4165,1,2,'male single',36,2,0
829,-1,'existing paid','used car',8335,0,4,'male single',47,2,0
830,1,'delayed previously',business,6681,0,2,'male single',38,2,1
831,0,'delayed previously',business,2375,3,2,'male single',44,2,1
832,-1,'existing paid','new car',1216,1,1,'female div/dep/mar',23,2,0
833,-1,'no credits/all paid',business,11816,1,4,'male single',29,2,0
834,1,'existing paid',radio/tv,5084,0,4,'female div/dep/mar',42,2,1
835,2,'existing paid',radio/tv,2327,1,1,'female div/dep/mar',25,1,0
836,-1,'no credits/all paid','new car',1082,1,2,'male single',48,2,0
837,0,'existing paid',radio/tv,886,0,2,'female div/dep/mar',21,2,1
838,0,'existing paid',furniture/equipment,601,1,1,'female div/dep/mar',23,1,1
839,-1,'critical/other existing credit','used car',2957,1,4,'male single',63,2,1
840,0,'critical/other existing credit',radio/tv,2611,1,4,'male mar/wid',46,2,1
841,-1,'existing paid',furniture/equipment,5179,1,3,'male single',29,2,0
842,0,'delayed previously','used car',2993,1,2,'male single',28,1,1
843,0,'existing paid',repairs,1943,1,1,'female div/dep/mar',23,2,0
844,0,'all paid',business,1559,1,3,'male single',50,2,1
845,0,'existing paid',furniture/equipment,3422,1,4,'male single',47,2,1
846,1,'existing paid',furniture/equipment,3976,0,3,'male single',35,2,1
847,0,'existing paid','new car',6761,0,2,'male single',68,2,0
848,0,'existing paid','new car',1249,1,1,'male mar/wid',28,2,1
849,-1,'existing paid',radio/tv,1364,1,3,'male single',59,2,1
850,-1,'existing paid',radio/tv,709,1,4,'male single',57,1,0
851,-1,'critical/other existing credit','new car',2235,1,2,'male mar/wid',33,2,0
852,0,'critical/other existing credit','used car',4042,0,3,'male single',43,2,1
853,0,'critical/other existing credit',radio/tv,1471,1,2,'male single',35,2,1
854,-1,'all paid','new car',1442,1,3,'male single',32,1,0
855,0,'delayed previously','new car',10875,1,4,'male single',45,2,1
856,0,'existing paid','new car',1474,2,1,'male mar/wid',33,2,1
857,0,'existing paid',retraining,894,0,3,'female div/dep/mar',40,2,1
858,0,'critical/other existing credit',furniture/equipment,3343,1,2,'male single',28,2,1
859,-1,'existing paid','new car',3959,1,2,'female div/dep/mar',29,2,0
860,0,'existing paid','new car',3577,2,2,'male single',26,2,1
861,0,'critical/other existing credit','used car',5804,4,2,'male single',27,2,1
862,0,'delayed previously',business,2169,1,2,'male mar/wid',28,2,0
863,-1,'existing paid',radio/tv,2439,1,1,'female div/dep/mar',35,2,0
864,0,'critical/other existing credit',furniture/equipment,4526,4,1,'male single',32,1,1
865,0,'existing paid',furniture/equipment,2210,1,2,'male single',25,1,0
866,0,'existing paid',furniture/equipment,2221,3,2,'female div/dep/mar',20,2,1
867,-1,'existing paid',radio/tv,2389,1,1,'female div/dep/mar',27,2,1
868,0,'critical/other existing credit',furniture/equipment,3331,1,4,'male single',42,2,1
869,0,'existing paid',business,7409,0,4,'male single',37,2,1
870,-1,'existing paid',furniture/equipment,652,1,4,'female div/dep/mar',24,2,1
871,0,'delayed previously',furniture/equipment,7678,3,3,'female div/dep/mar',40,2,1
872,2,'critical/other existing credit','new car',1343,1,4,'male single',46,2,1
873,-1,'critical/other existing credit',business,1382,2,3,'male single',26,2,1
874,0,'existing paid','domestic appliance',874,0,1,'female div/dep/mar',24,2,1
875,-1,'existing paid',furniture/equipment,3590,1,2,'male single',29,1,1
876,1,'critical/other existing credit','new car',1322,4,2,'female div/dep/mar',40,2,1
877,-1,'all paid',radio/tv,1940,1,1,'male single',36,3,1
878,0,'existing paid',radio/tv,3595,1,4,'male single',28,2,1
879,-1,'existing paid','new car',1422,1,1,'male single',27,3,0
880,0,'critical/other existing credit',radio/tv,6742,0,3,'male single',36,2,1
881,0,'existing paid','used car',7814,1,3,'male single',38,3,1
882,0,'existing paid','used car',9277,0,2,'male div/sep',48,2,1
883,1,'critical/other existing credit','new car',2181,0,4,'male single',36,2,1
884,0,'critical/other existing credit',radio/tv,1098,1,0,'female div/dep/mar',65,0,1
885,1,'existing paid',furniture/equipment,4057,1,3,'male div/sep',43,2,0
886,-1,'existing paid',education,795,1,1,'female div/dep/mar',53,2,0
887,1,'critical/other existing credit',business,2825,0,3,'male single',34,2,1
888,1,'existing paid',business,15672,1,2,'male single',23,2,0
889,0,'critical/other existing credit','new car',6614,1,4,'male single',34,3,1
890,0,'all paid','used car',7824,0,1,'male single',40,2,1
891,-1,'critical/other existing credit',business,2442,1,4,'male single',43,3,1
892,0,'critical/other existing credit',radio/tv,1829,1,4,'male single',46,2,1
893,-1,'critical/other existing credit','new car',2171,1,2,'male single',38,1,1
894,1,'critical/other existing credit','used car',5800,1,2,'male single',34,2,1
895,0,'critical/other existing credit',radio/tv,1169,0,2,'male single',29,2,1
896,0,'delayed previously','used car',8947,0,3,'male single',31,3,1
897,-1,'existing paid',radio/tv,2606,1,1,'female div/dep/mar',28,3,1
898,0,'critical/other existing credit',furniture/equipment,1592,4,3,'female div/dep/mar',35,2,1
899,0,'existing paid',furniture/equipment,2186,0,3,'female div/dep/mar',33,1,1
900,-1,'existing paid',furniture/equipment,4153,1,2,'male single',42,2,0
901,-1,'critical/other existing credit','new car',2625,1,4,'male single',43,2,0
902,0,'critical/other existing credit','new car',3485,0,1,'male div/sep',44,2,1
903,0,'critical/other existing credit','used car',10477,0,4,'male single',42,2,1
904,0,'existing paid',radio/tv,1386,0,2,'male mar/wid',40,2,1
905,0,'existing paid',radio/tv,1278,1,4,'male single',36,3,1
906,-1,'existing paid',radio/tv,1107,1,2,'male single',20,3,1
907,-1,'existing paid','new car',3763,0,3,'male single',24,1,1
908,1,'existing paid',education,3711,0,2,'male mar/wid',27,2,1
909,0,'delayed previously','used car',3594,1,1,'female div/dep/mar',46,1,1
910,1,'existing paid','new car',3195,0,2,'female div/dep/mar',33,1,1
911,0,'delayed previously',radio/tv,4454,1,2,'female div/dep/mar',34,2,1
912,1,'critical/other existing credit',furniture/equipment,4736,1,1,'female div/dep/mar',25,1,0
913,1,'existing paid',radio/tv,2991,0,4,'female div/dep/mar',25,2,1
914,0,'existing paid',business,2142,4,4,'male div/sep',28,2,1
915,-1,'all paid',business,3161,1,2,'male single',31,2,0
916,1,'no credits/all paid',other,18424,1,2,'female div/dep/mar',32,3,0
917,0,'existing paid','used car',2848,2,2,'male single',32,2,1
918,-1,'existing paid','new car',14896,1,4,'male single',68,3,0
919,-1,'existing paid',furniture/equipment,2359,2,0,'male div/sep',33,2,0
920,-1,'existing paid',furniture/equipment,3345,1,4,'male single',39,3,0
921,0,'critical/other existing credit',furniture/equipment,1817,1,2,'female div/dep/mar',28,2,1
922,0,'delayed previously',radio/tv,12749,3,3,'male single',37,3,1
923,-1,'existing paid',radio/tv,1366,1,1,'female div/dep/mar',22,2,0
924,1,'existing paid','new car',2002,1,3,'male single',30,2,1
925,-1,'all paid',furniture/equipment,6872,1,1,'male div/sep',55,2,0
926,-1,'all paid','new car',697,1,1,'male single',46,2,0
927,-1,'critical/other existing credit',furniture/equipment,1049,1,1,'female div/dep/mar',21,2,1
928,-1,'existing paid','used car',10297,1,3,'male single',39,2,0
929,0,'existing paid',radio/tv,1867,0,4,'male single',58,2,1
930,-1,'delayed previously','new car',1344,1,2,'male single',43,1,1
931,-1,'existing paid',furniture/equipment,1747,1,1,'male single',24,1,1
932,1,'existing paid',radio/tv,1670,1,1,'female div/dep/mar',22,2,0
933,0,'critical/other existing credit','new car',1224,1,2,'male single',30,2,1
934,0,'critical/other existing credit',radio/tv,522,3,4,'male single',42,2,1
935,-1,'existing paid',radio/tv,1498,1,2,'female div/dep/mar',23,2,1
936,1,'delayed previously',radio/tv,1919,2,1,'male single',30,3,0
937,2,'existing paid',radio/tv,745,1,2,'female div/dep/mar',28,1,0
938,1,'existing paid',radio/tv,2063,1,1,'male mar/wid',30,3,1
939,1,'existing paid',education,6288,1,2,'male single',42,2,0
940,0,'critical/other existing credit','used car',6842,0,2,'male single',46,3,1
941,0,'existing paid','new car',3527,0,1,'male single',45,3,1
942,0,'existing paid','new car',1546,1,2,'male single',31,1,1
943,0,'existing paid',furniture/equipment,929,0,3,'male single',31,2,1
944,0,'critical/other existing credit','new car',1455,1,3,'male single',42,1,1
945,-1,'existing paid',furniture/equipment,1845,1,1,'female div/dep/mar',46,2,1
946,1,'no credits/all paid','new car',8358,3,1,'female div/dep/mar',30,2,1
947,-1,'all paid',furniture/equipment,3349,3,1,'male single',30,2,0
948,0,'existing paid','new car',2859,0,0,'male single',38,3,1
949,0,'existing paid',furniture/equipment,1533,1,1,'male mar/wid',43,1,0
950,0,'existing paid',radio/tv,3621,2,4,'male single',31,2,0
951,1,'critical/other existing credit',business,3590,1,0,'male mar/wid',40,0,1
952,-1,'delayed previously',business,2145,1,3,'male single',24,2,0
953,1,'existing paid','used car',4113,3,1,'female div/dep/mar',28,2,0
954,0,'existing paid',furniture/equipment,10974,1,0,'female div/dep/mar',26,3,0
955,-1,'existing paid','new car',1893,1,2,'female div/dep/mar',29,2,1
956,-1,'critical/other existing credit',radio/tv,1231,4,4,'female div/dep/mar',57,3,1
957,2,'critical/other existing credit',radio/tv,3656,0,4,'male single',49,1,1
958,1,'critical/other existing credit',radio/tv,1154,1,4,'male single',37,1,1
959,-1,'existing paid','new car',4006,1,2,'male single',45,1,0
960,1,'existing paid',furniture/equipment,3069,2,4,'male single',30,2,1
961,0,'critical/other existing credit',radio/tv,1740,1,4,'male mar/wid',30,2,1
962,1,'delayed previously','new car',2353,1,2,'male div/sep',47,2,1
963,0,'existing paid','new car',3556,0,2,'male single',29,2,1
964,0,'existing paid',radio/tv,2397,3,4,'male single',35,2,0
965,1,'existing paid',repairs,454,1,1,'male mar/wid',22,1,1
966,1,'existing paid',radio/tv,1715,0,2,'female div/dep/mar',26,2,1
967,1,'critical/other existing credit',radio/tv,2520,3,2,'male single',23,1,0
968,0,'existing paid',radio/tv,3568,1,4,'female div/dep/mar',54,3,1
969,0,'existing paid',radio/tv,7166,0,3,'male mar/wid',29,2,1
970,-1,'critical/other existing credit','new car',3939,1,2,'male single',40,1,1
971,1,'existing paid',repairs,1514,2,2,'male single',22,2,1
972,0,'existing paid','new car',7393,1,2,'male single',43,1,1
973,-1,'all paid','new car',1193,1,0,'female div/dep/mar',29,0,0
974,-1,'existing paid',business,7297,1,4,'male single',36,2,0
975,0,'critical/other existing credit',radio/tv,2831,1,2,'female div/dep/mar',33,2,1
976,2,'existing paid',radio/tv,1258,3,2,'female div/dep/mar',57,1,1
977,1,'existing paid',radio/tv,753,1,2,'female div/dep/mar',64,2,1
978,1,'delayed previously',business,2427,0,4,'male single',42,2,1
979,0,'delayed previously','new car',2538,1,4,'male single',47,1,0
980,1,'all paid','new car',1264,2,2,'male mar/wid',25,2,0
981,1,'critical/other existing credit',furniture/equipment,8386,1,3,'male single',49,2,0
982,0,'existing paid',business,4844,1,0,'male single',33,3,0
983,2,'existing paid','new car',2923,2,2,'female div/dep/mar',28,3,1
984,-1,'existing paid','used car',8229,1,2,'male single',26,2,0
985,0,'critical/other existing credit',furniture/equipment,2028,1,3,'male single',30,1,1
986,-1,'critical/other existing credit',furniture/equipment,1433,1,2,'female div/dep/mar',25,2,1
987,2,'no credits/all paid',business,6289,1,1,'male div/sep',33,2,1
988,0,'existing paid',radio/tv,1409,2,0,'female div/dep/mar',64,2,1
989,-1,'existing paid','used car',6579,1,0,'male single',29,3,1
990,1,'critical/other existing credit',radio/tv,1743,1,4,'male single',48,1,1
991,0,'critical/other existing credit',education,3565,0,1,'male single',37,1,1
992,0,'all paid',radio/tv,1569,2,4,'male single',34,1,1
993,-1,'existing paid',radio/tv,1936,0,3,'male mar/wid',23,1,1
994,-1,'existing paid',furniture/equipment,3959,1,0,'male single',30,3,1
995,0,'existing paid','new car',2390,0,4,'male single',50,2,1
996,0,'existing paid',furniture/equipment,1736,1,3,'female div/dep/mar',31,1,1
997,-1,'existing paid','used car',3857,1,2,'male div/sep',40,3,1
998,0,'existing paid',radio/tv,804,1,4,'male single',38,2,1
999,-1,'existing paid',radio/tv,1845,1,2,'male single',23,2,0
1000,1,'critical/other existing credit','used car',4576,2,0,'male single',27,2,1
